City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Vestmannaeyjar,IS,63.44,-20.27,51.71,88,79,18.63,broken clouds
323,San Juan,AR,-31.54,-68.54,51.08,46,94,16.73,overcast clouds
324,Kurchum,KZ,48.57,83.65,73.58,39,36,8.12,scattered clouds
325,Benjamin Aceval,PY,-24.97,-57.57,68.0,94,90,6.93,thunderstorm
326,Port Macquarie,AU,-31.43,152.92,73.4,20,0,17.22,clear sky
327,Geraldton,AU,-28.77,114.6,62.6,67,19,10.29,few clouds
328,Axim,GH,4.87,-2.24,75.61,87,100,8.66,light rain
329,Barma,SL,8.35,-11.33,73.42,95,100,1.74,light rain
330,Saint-Georges,GD,12.06,-61.75,80.6,83,40,5.82,scattered clouds
331,Gravelbourg,CA,49.88,-106.55,81.32,26,50,5.37,scattered clouds
332,Cumana,VE,10.46,-64.18,79.41,77,85,2.17,overcast clouds
333,Sungaipenuh,ID,-2.08,101.38,76.84,67,97,1.79,overcast clouds
334,Jutai,BR,-5.18,-68.9,73.53,88,15,1.57,few clouds
335,Tuy Hoa,VN,13.08,109.3,89.55,59,96,13.09,overcast clouds
336,Gorkovskiy,RU,45.65,41.2,73.44,32,62,2.89,broken clouds
337,Kovur,IN,14.48,79.98,88.45,55,100,15.93,overcast clouds
338,Westport,US,41.14,-73.36,71.6,60,1,3.36,clear sky
339,The Pas,CA,53.83,-101.25,69.8,68,1,9.26,clear sky
340,Leningradskiy,RU,69.38,178.42,49.8,58,54,12.93,broken clouds
341,Vozuca,BA,44.36,18.36,60.8,93,75,2.24,broken clouds
342,Zapolyarnyy,RU,69.42,30.81,50.0,100,75,12.75,broken clouds
343,Tadine,NC,-21.55,167.88,72.7,58,61,3.51,broken clouds
344,Loralai,PK,30.37,68.6,86.13,39,2,4.43,clear sky
345,Nouadhibou,MR,20.93,-17.03,69.8,88,1,16.11,clear sky
346,Manaure,CO,11.78,-72.44,82.0,79,91,5.23,overcast clouds
347,Snezhnogorsk,RU,69.19,33.25,48.2,100,75,6.71,broken clouds
348,Aklavik,CA,68.22,-135.01,59.0,62,75,3.36,broken clouds
349,Zhuhai,CN,22.28,113.57,82.99,88,40,19.46,scattered clouds
350,Salekhard,RU,66.53,66.6,57.58,80,88,17.58,overcast clouds
351,Yagodnoye,RU,62.55,149.67,55.56,64,100,7.94,light rain
352,Tongliao,CN,43.61,122.27,73.4,56,99,11.68,overcast clouds
353,Mayor Pablo Lagerenza,PY,-19.93,-60.77,78.46,49,21,1.77,few clouds
354,Akureyri,IS,65.68,-18.09,48.2,81,90,6.93,overcast clouds
355,Verkhnyaya Inta,RU,65.98,60.31,60.73,70,82,10.6,broken clouds
356,Bartica,GY,6.4,-58.62,78.8,88,100,2.24,overcast clouds
357,Dedovichi,RU,57.55,29.95,53.62,84,18,2.8,few clouds
358,Pakxan,LA,18.38,103.66,81.19,82,96,3.51,light rain
359,Ishigaki,JP,24.34,124.16,87.8,84,75,9.17,broken clouds
360,Manzhouli,CN,49.6,117.43,64.44,38,0,4.5,clear sky
